Team,1st Period,2nd Period,3rd Period,OT,Total
DALLAS,79,100,74,4,257
ST LOUIS,56,96,82,5,239
VANCOUVER,51,95,84,6,236
FLORIDA,41,90,66,1,198
WASHINGTON,67,87,78,5,237
DETROIT,59,84,81,7,231
TAMPA BAY,73,83,99,4,259
SAN JOSE,63,82,77,2,224
OTTAWA,57,80,88,7,232
WINNIPEG,74,79,66,4,223
MONTREAL,44,77,87,6,214
TORONTO,56,77,70,3,206
COLUMBUS,69,76,77,5,227
CALGARY,54,75,99,9,237
BOSTON,70,74,56,9,209
ANAHEIM,61,74,85,8,228
NY RANGERS,84,74,84,6,248
NY ISLANDERS,75,73,91,6,245
NASHVILLE,65,71,82,8,226
MINNESOTA,65,71,87,4,227
LOS ANGELES,65,70,82,1,218
EDMONTON,58,68,65,2,193
COLORADO,59,68,80,2,209
PITTSBURGH,77,68,66,6,217
PHILADELPHIA,63,67,77,5,212
CAROLINA,54,67,61,1,183
CHICAGO,74,60,83,3,220
NEW JERSEY,59,57,59,1,176
ARIZONA,56,54,50,5,165
BUFFALO,46,52,54,1,153
ANAHEIM,75,103,78,7,263
CHICAGO,68,102,90,1,261
BOSTON,71,79,104,4,258
COLORADO,68,89,78,10,245
PITTSBURGH,68,86,84,4,242
SAN JOSE,83,81,71,4,239
ST LOUIS,68,83,85,3,239
PHILADELPHIA,60,79,90,4,233
TAMPA BAY,62,91,73,6,232
DALLAS,74,88,67,2,231
OTTAWA,80,69,77,3,229
COLUMBUS,74,69,80,3,226
WASHINGTON,62,90,69,4,225
TORONTO,56,82,79,5,222
WINNIPEG,69,73,72,5,219
DETROIT,73,68,72,4,217
NY ISLANDERS,55,89,68,4,216
NY RANGERS,60,78,74,2,214
NASHVILLE,68,74,69,3,214
PHOENIX,61,78,68,3,210
MONTREAL,68,61,73,7,209
CAROLINA,46,89,66,4,205
CALGARY,45,80,70,7,202
EDMONTON,62,60,72,5,199
MINNESOTA,62,55,79,3,199
LOS ANGELES,66,55,73,4,198
NEW JERSEY,56,64,68,9,197
VANCOUVER,54,71,60,6,191
FLORIDA,45,65,78,0,188
BUFFALO,38,48,61,3,150
PITTSBURGH,53,43,64,2,162
CHICAGO,50,50,44,5,149
TAMPA BAY,35,45,66,1,147
WASHINGTON,38,56,48,4,146
MONTREAL,40,54,50,2,146
TORONTO,46,50,47,2,145
NY ISLANDERS,37,49,47,2,135
ANAHEIM,36,51,46,1,134
PHILADELPHIA,50,43,37,2,132
LOS ANGELES,34,52,44,1,131
CALGARY,45,36,45,2,128
DALLAS,39,40,47,2,128
CAROLINA,36,47,43,1,127
BOSTON,42,45,39,1,127
NY RANGERS,38,38,46,4,126
WINNIPEG,31,56,35,4,126
ST LOUIS,41,41,38,4,124
EDMONTON,47,36,38,2,123
VANCOUVER,38,46,37,1,122
DETROIT,33,44,43,2,122
PHOENIX,36,39,45,1,121
BUFFALO,30,41,46,1,118
MINNESOTA,31,47,37,3,118
SAN JOSE,36,42,38,0,116
COLUMBUS,25,48,37,5,115
COLORADO,30,44,37,3,114
OTTAWA,31,43,36,2,112
NEW JERSEY,25,43,41,1,110
FLORIDA,34,32,42,1,109
NASHVILLE,38,31,37,3,109
PITTSBURGH,78,87,106,2,273
PHILADELPHIA,72,98,84,6,260
BOSTON,72,78,108,2,260
OTTAWA,61,75,102,5,243
VANCOUVER,81,74,79,7,241
CHICAGO,66,89,82,4,241
DETROIT,77,74,85,3,239
NASHVILLE,66,72,91,3,232
TAMPA BAY,62,81,79,10,232
TORONTO,70,71,81,5,227
NY RANGERS,57,81,76,8,222
WINNIPEG,66,86,63,6,221
SAN JOSE,58,89,69,3,219
WASHINGTON,59,70,82,7,218
NEW JERSEY,55,87,70,4,216
CAROLINA,64,73,72,3,212
BUFFALO,71,70,65,5,211
PHOENIX,61,78,68,3,210
EDMONTON,59,84,62,2,207
MONTREAL,66,74,65,2,207
ST LOUIS,67,64,72,3,206
DALLAS,58,62,80,4,204
ANAHEIM,60,76,63,2,201
CALGARY,70,56,71,2,199
COLORADO,61,63,68,7,199
COLUMBUS,63,73,60,2,198
FLORIDA,56,73,67,1,197
NY ISLANDERS,65,66,62,3,196
LOS ANGELES,54,73,58,3,188
MINNESOTA,49,57,58,2,166
VANCOUVER,70,84,100,4,258
DETROIT,75,89,84,9,257
PHILADELPHIA,76,94,83,3,256
CHICAGO,85,89,74,4,252
BOSTON,74,75,94,1,244
SAN JOSE,69,94,75,5,243
CALGARY,73,75,91,2,241
TAMPA BAY,82,87,64,8,241
BUFFALO,69,86,75,10,240
ST LOUIS,71,83,79,3,236
ANAHEIM,69,82,75,9,235
CAROLINA,71,68,86,6,231
PITTSBURGH,67,91,65,5,228
PHOENIX,58,81,85,2,226
NY ISLANDERS,58,92,68,7,225
NY RANGERS,59,77,85,3,224
DALLAS,63,82,72,5,222
COLORADO,67,67,81,6,221
WASHINGTON,54,76,80,9,219
ATLANTA,63,72,73,10,218
TORONTO,61,74,76,2,213
NASHVILLE,73,62,76,2,213
MONTREAL,66,86,56,5,213
COLUMBUS,63,68,74,5,210
LOS ANGELES,67,70,71,1,209
MINNESOTA,66,58,74,5,203
EDMONTON,50,65,74,2,191
FLORIDA,64,54,67,6,191
OTTAWA,57,68,63,2,190
NEW JERSEY,55,53,56,7,171
WASHINGTON,92,103,112,6,313
VANCOUVER,87,76,101,4,268
CHICAGO,91,84,81,6,262
SAN JOSE,68,99,89,1,257
PITTSBURGH,77,89,77,6,249
COLORADO,76,91,68,2,237
ANAHEIM,69,71,90,3,233
PHILADELPHIA,70,89,71,2,232
LOS ANGELES,61,79,87,4,231
BUFFALO,67,84,74,6,231
DALLAS,66,82,80,2,230
ATLANTA,61,82,85,2,230
CAROLINA,66,80,75,5,226
DETROIT,67,73,78,5,223
OTTAWA,64,71,80,5,220
NY RANGERS,70,78,70,1,219
ST LOUIS,68,75,72,3,218
NASHVILLE,64,76,71,6,217
NEW JERSEY,62,75,77,2,216
COLUMBUS,62,79,70,3,214
NY ISLANDERS,70,85,53,6,214
MINNESOTA,59,73,77,5,214
TAMPA BAY,68,71,69,5,213
PHOENIX,53,74,79,5,211
TORONTO,56,78,71,5,210
MONTREAL,59,77,66,8,210
EDMONTON,63,76,66,1,206
FLORIDA,60,65,75,2,202
CALGARY,71,73,55,2,201
BOSTON,60,73,59,4,196
DETROIT,79,101,106,3,289
BOSTON,87,92,88,3,270
WASHINGTON,86,79,97,6,268
CHICAGO,85,83,86,6,260
PHILADELPHIA,68,91,95,6,260
PITTSBURGH,75,89,88,6,258
SAN JOSE,83,91,73,4,251
CALGARY,70,87,91,3,251
ATLANTA,79,73,94,4,250
TORONTO,63,83,94,4,244
VANCOUVER,70,84,84,5,243
BUFFALO,81,84,75,2,242
MONTREAL,77,91,70,4,242
ANAHEIM,70,87,76,5,238
NEW JERSEY,69,87,73,9,238
CAROLINA,69,86,74,7,236
FLORIDA,68,87,72,4,231
EDMONTON,68,80,79,1,228
ST LOUIS,64,80,79,4,227
DALLAS,72,80,67,5,224
COLUMBUS,63,64,88,5,220
MINNESOTA,66,70,75,3,214
OTTAWA,61,82,67,3,213
NASHVILLE,62,66,73,6,207
TAMPA BAY,67,74,64,2,207
PHOENIX,61,76,67,1,205
LOS ANGELES,61,72,66,3,202
NY RANGERS,58,71,68,3,200
NY ISLANDERS,58,74,63,3,198
COLORADO,65,67,55,3,190
OTTAWA,70,92,93,3,258
MONTREAL,77,91,84,5,257
DETROIT,76,87,87,2,252
BUFFALO,64,84,98,5,251
CAROLINA,74,77,94,5,250
PHILADELPHIA,65,93,84,3,245
PITTSBURGH,71,82,86,1,240
WASHINGTON,75,78,78,7,238
DALLAS,63,92,79,3,237
CHICAGO,86,63,81,4,234
TORONTO,54,87,82,5,228
NASHVILLE,69,64,89,5,227
LOS ANGELES,64,77,83,2,226
CALGARY,66,80,77,3,226
COLORADO,53,93,74,4,224
TAMPA BAY,57,88,74,2,221
EDMONTON,67,80,69,4,220
MINNESOTA,65,88,61,6,220
SAN JOSE,67,62,84,3,216
FLORIDA,58,73,76,4,211
PHOENIX,50,84,71,4,209
ATLANTA,55,69,77,6,207
VANCOUVER,66,67,70,4,207
BOSTON,61,67,75,3,206
NY RANGERS,75,62,64,4,205
ST LOUIS,59,68,74,1,202
NEW JERSEY,58,71,62,7,198
ANAHEIM,56,68,69,4,197
COLUMBUS,55,63,70,2,190
NY ISLANDERS,44,72,68,5,189
BUFFALO,85,116,92,5,298
OTTAWA,85,102,97,2,286
PITTSBURGH,80,89,92,6,267
COLORADO,83,96,85,3,267
NASHVILLE,94,99,70,3,266
SAN JOSE,74,97,84,1,256
CALGARY,76,87,90,2,255
TORONTO,79,93,78,4,254
ANAHEIM,70,93,86,5,254
DETROIT,61,90,98,3,252
FLORIDA,70,84,88,3,245
TAMPA BAY,62,96,80,5,243
CAROLINA,63,80,92,6,241
NY ISLANDERS,67,83,88,2,240
MONTREAL,62,92,83,2,239
ATLANTA,73,73,86,7,239
WASHINGTON,79,77,74,4,234
NY RANGERS,68,86,76,3,233
MINNESOTA,63,76,79,7,225
LOS ANGELES,67,76,78,2,223
VANCOUVER,67,73,65,12,217
DALLAS,64,62,85,6,217
PHILADELPHIA,58,70,82,3,213
PHOENIX,68,75,66,2,211
BOSTON,80,67,59,4,210
ST LOUIS,64,78,62,4,208
NEW JERSEY,56,74,73,3,206
COLUMBUS,53,74,65,4,196
CHICAGO,78,44,70,3,195
EDMONTON,58,63,70,1,192
OTTAWA,89,113,108,2,312
DETROIT,92,99,107,3,301
CAROLINA,78,98,106,4,286
COLORADO,99,89,89,3,280
BUFFALO,73,97,100,6,276
ATLANTA,82,95,94,5,276
SAN JOSE,69,94,93,9,265
PHILADELPHIA,76,101,79,7,263
TORONTO,81,82,84,7,254
NASHVILLE,85,81,84,3,253
DALLAS,67,101,82,3,253
VANCOUVER,66,98,84,4,252
ANAHEIM,86,81,81,3,251
NY RANGERS,77,88,81,4,250
EDMONTON,66,84,93,6,249
TAMPA BAY,75,81,84,6,246
PITTSBURGH,67,84,88,4,243
LOS ANGELES,80,73,86,4,243
PHOENIX,71,80,85,6,242
MONTREAL,69,83,82,7,241
FLORIDA,59,100,69,8,236
NEW JERSEY,72,77,80,4,233
WASHINGTON,69,82,77,2,230
BOSTON,66,91,67,4,228
MINNESOTA,60,83,82,1,226
NY ISLANDERS,73,73,72,3,221
CALGARY,69,71,74,2,216
COLUMBUS,62,65,82,6,215
CHICAGO,74,66,62,7,209
ST LOUIS,65,66,59,3,193
ALL,19191,22611,22227,1206,65235
2014-2015,1874,2249,2290,136,6549
ALL w/o 2015,17317,20362,19937,1070,58686
PER GAME,1.63,1.92,1.89,0.10,5.53
PER GAME w/o 2015,1.64,1.93,1.89,0.10,5.56
